Plot,BigSurPlot,SiteID,OriginalSampleYear,Forest.Type,,,,,,,,,,,BurnSurvey,Basin,Chalk,,BARCseverity,CBI.mean,CBI.Int,CBI.Big,,,,,2009plot,2010plot,,,,,,,,,,,,,,,,,ownership,,,,,owner,own_category,,GPS.Device,Zone,Easting,Northing,Error.GPS,Averaged.points.GPS,Elevation,TMI,Slope,Plot.Aspect,Overall.Aspect,RoadLocationCategory,RoadUse,Landscape.Location,PlotNotes,Landuse.history,,,,,,,,,,Pram.0607,Pnem.0607,Ppseudo.0607,neg.isolation.0607,Pram2009,Psp2009,neg.isolation.09,samp.notes09,PCR.2009,isol.PCR.09,transect.09,Pram2010,Pnem2010,Ppseudo2010,,neg.isolation.10,PCRnotes10,PCR.10,isol.PCR.10,transect.10,Pram2011,Pnem2011,Ppseudo2011,,neg.isolation.11,Pram2013,Pnem2013,Ppseudo2013,,neg.isolation.13,,,,,,,,,,,,,,,,
436,BS436,BSVT,2006,1,,1,,1,1,0,1,,,,0,1,0,0,1,N/A,N/A,N/A,1,2,4,"1924,1977, 2008, 2016",,,,,,,,,,,,,,,,,,,1,,yes,no,Ventana Trail/ Puerto Suello Trail,USFS,1,"USFS. Ventana Trail; out past Little Pines camp but before junction w/Puerto Suello Trail. After major drainage trail has major bend on ridge in open meadow. Follow meadow/ridge dow, down. Plot to the left. Thick bays and oaks. Next to open meadow where ridge drops off. Have to pass small clump of manzanitas, before drop off point. ",Bart,10,614730.00,4022614.00,8,,1059,6.535992146,32,151,151,2,2,mid-slope,"QUPA is not highly serrated, it has very long linear leaves, lancelote (bay Like), shiney underside, possibly Interior Live Oak. Definitely different than what we see at lower elevations. A majority of the leaves have smooth leaf margins but occassional spikes. For this plot we did not measure ""branches"" on UMCA's. We measured verticle main stems unless obviously split below dbh. Bay branches were very close to ground and measuring them would be misleading and not worth it. We clumped many of the UMCA stems. We did continue to count branches splitting off below dbh on all other trees. QUPA possible hybrid between QUCH and QUPA? Come in spring it is very hot in here this time of year!",,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,BS438,BSBS,2007,1,,1,,1,1,1,0,,1,1,1,1,0,0,1,2.075,1.5,0.375,0,0,2,"2008, 2016",1,,1,,1,1,,1,,1,,,0,,0,0,0,0,2,no*,no,no,Little Sur Trail,Boy Scouts,3,"Boy Scouts of America. To the end of Palo Colorado road (8miles) to Botchers Gap. there is a green metal gate that you need a gate code from the Boy Scouts if you want to drive, need 4x4. This plot you could easily  hike or if have permission, drive down Boy Scout road from Botchers Gap to trail head for Little Sur Camp (1.7miles from gate). Head down trail that goes along nice ridge. Go about 130m along trail. Then trail takes a turn to the left, go off trail to right and follow nice open ridge down until right before it gets flat. Turn off trail due South and follow rocky ridge. Plot is ~65m from the trail. Plot is in around nice PSME on open ridge.",UCD Trimble,10,606896.00,4022563.00,2.7,yes,344,5.908570766,20,174,174,2,1,ridge,"LOHI on ground has black spots, possible Phytop. Symptoms; Flagged out dead LIDE @ 77degrees; Very dense herb layer; Beautiful plot on ridge; Vegetation covers a very rocky, bigger rock ground. May have missed some saplings and seedling due to deep vegetation. QUspp look good still. LIDE's in area are symptomatic and dying. Open understory plot. QU spp on W facing slope flagged out and dying. From 2008 unburned duff depth=5cm.",,1,2007,1,,11,,2,,,1,,,0,,,1,,1,1,,1,,,,0,,,,,1,,,,0,,,,,,,1,,,,"0, PCR",,,,,,,,,,
457,BS457,BSPR,2007,2,,1,,,1,1,0,,1,1,1,1,0,0,0,1.975,1,0.375,0,0,1,2008,1,1,,1,,,1,,,1,,,1,,0,0,1,1,1,yes,yes,no,Partington Cove Trail,CA State Parks,2,Julia Pfeiffer Big Sur State Park; Partington Cove. Park at mouth of Partington Cove. Start on Tanbark Trail and quickly get to bridge (don’t go over). Go off trail heading up N side of drainage creek for about 20m. Plot is on hillside above this. Center is above HUGE SESE. And above the center of one of Tricia's plots. Enterance may look different after the winter of 2008-09.,UCD Trimble,10,617583.79,4004572.62,5,yes,443,6.046273232,34,135,138,1,2,lower-slope,"There is paint pen marking on trees- think we are in one of Tricias plots. Lots of LIDE saplings that don’t make dbh but don’t get counted as sapling because dead. 1x1 sticky eupatorium (AGAD) at 285 degrees and at 210 degrees. The recorded elevation for this plot is 443m, this can not be true, this plot is not far from the ocean!",Paint pen marking on trees- Think we are in one of Tricias plots. Highly disturbed area. Right above trail. On SW side of plot there is a draw that is filled (!) with garbage. Looks like an old garbage dump. Also lots of garbage in the area. PVC pipe running through plot.,1,2007,1,,11,2,2,2,2,1,,,0,1,,0,,0,0,0,1,,,,0,,,,,,,,,,1,,,,0,2,,,,,,4,Globisporangium,,,,,,,,
458,BS458,BSBCR,2006,1,,1,1,,1,1,0,,1,1,1,1,0,0,3,2.71875,2.375,2.5,1,2,4,"1929,1985, 2008",1,,1,S,1,,,1,1,,,,2,2,2,2,2,0,2,yes,yes,no,"Prentice Piece, Upper Dolan Ridge Fire Break, Santa Lucia Company property access",Big Creek Reserve,2,"Big Creek Reserve; Make reservations on line prior to going down. For this plot you should plan on staying in the yurt near the gatehouse. Big Creek Reserve Property but accessed via SL Company, 4 miles north of Big Creek Reserve to mile marker....North of the Burns Creek bridge. There is a larger turnout on W side of highway. Road is on E side of highway. The driveway/dirt road heads sharply N to gate from Highway. Drive through Santa Lucia Company Property (will need gate combo). Drive to the very end of SLC property (3.25 miles from the gate). The very end of the road is rough, you will need 4x4.. Stay right when driveway/roads rise up to the left, go over creek, and then do not drop down to the right (There is a house to the right of the road), You will come right below a house on your left, keep going past that house, below it, then the road rises a bit here then levels out quickly. Park at road end near water tank and large turnaround w/pines in the grassland. Walk up grassy ridgeline (old fire cut that is now a new dozer cut since 2008, follow new dozer line up ridge. Use gps to help figure out where you are on the ridge as you head up). Climb up past water tank, and through chapparel and into forest. Again back up and out of chapparel. Turn N off ridge to drop down to plot BEFORE drainage (runs west) and ridge turns west. You are almost up to the top before you head down. there is a very steep section of dozer line to go up before heading down to the plot. The dozer line will flatten out before heading steeply back up where you should not go but head N down off the ridge. There is a wall of ceanothus between plot and drainage. Go a bit farther and then head down grassy area along left side of dense ceonothus.",UCD Trimble,10,626102,3996899,4,,834,6.696023941,33,319,319,2,1,upper-slope,Many spp of plants in grassland are dried up- too late tin season to ID. Loose soil. Half of plot has a lot of ceonothus. Plot center is right above large 4 stemmed Quag. Vicia and grass spp cover would be much higher if things were green,Fire does not appear to be very intense here.,1,2006,1,,11,,2,,,1,,,0,,,1,,none,1,,,,,,1,,,,,1,1,,,0,,,,,,,1,,,,0,,,,,,,,,,
461,BS461,BSPRIV,2007,1,,1,,,1,0,1,,,,0,1,0,0,2,N/A,N/A,N/A,1,1,3,"1985, 2008",,,,,,,,,,,,"check habitat, NCRR end",1,1,,,,,2,,no,yes,North Coast Ridge Road/ Harrington-Cedars property,Harrington/Trotter,3,"Harrington/Cedars Property. End of NCRR. Need 4x4. Contact Mary Trotter for access to this property. Out N. Coast Ridge Road past 3rd and 4th gate at Marble Peak. You have to go through 4 gates. The only way to get through that 3rd gate is to have either try to acquire the FS key (which can be difficult) or with permission/gate combo from Mary Trotter (whose brother's property it is anyway) or another private owner past the 3rd gate. You'll need the combination for the 4th gate from Mary. To get to the NCRR; Highway 1; into Ventana Inn and Spa, stay right around fountain and stay right when the road turns left and there is a dirt road and gate in front of you. Enter #2567 into the little box. From the gate go 1.5 miles to second gate. There are a variety of ways to get through this gate. There will be a large 3rd gate, as mentioned above. @ the end there will be a 4th gate that continues past Marble Peak Ranch, ~15miles and over 1hours time, you may want to try to plan on camping out on the NCRR somewhere, (Cold Springs possibly or even on Mary's deck). Stay on main road past Marble Peak Ranch on the west side of the road. Harrington/Cedar's property is on the East side of the road and is marked by a green metal gate. This plot is not down their driveway though. Continue on the road to the very end when the Trotter cabin is above you on the right. Park at Mary's property. Walk back down her driveway and onto NCRR where you can quickly find and follow an old road cut off road and then head down into forest (it looks crazy but it opens up) about 50 m to the N.",UCD Trimble,10,626586.24,4000653.38,5,yes,1030,9.419270515,13,355,335,2,4,ridge,"Once you get through the very thick edges of the forest, it opens up. Lots of poison oak! Come later in season- still unavoidable. Very minor draw (so high up on slopes) on NE side of plot running N/NW. Lots of seedlings, a bit difficult to distinguish species.Layed tape down on ground a bit to get over draw, having to drape it over shrubs so some distances are best estimates. Very big moth (tortoise shell) year for CEOL and much of it is chewed on. signs of woodrats but no houses in plot.",Lots of large fire scars in trees. Pretty substantial (game?) trail runninng through top (S) part of plot.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,BS468,BSSLP,2007,1,,0,,,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,0,none,,,,,,,,,,,,,,,,,,,2,,yes,no,Cantera Run Road,SLC,4,"Santa Lucia Conservancy. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Drive to the end of Cantera road. Can park @ little turn out on road that is paved, a short distance, and then has a metal gate. (1st driveway in the turn around) head down grassy ridge from there and drop down into forest @ the maples on your right. Go left into forest. ",UCD Trimble,10,603298.70,4038373.33,4.5,yes,424,6.24152565,35,121,169,2,6,upper-slope,"loose soil. Deep duff. Open understory. Boardered by grassland to the N,NW and chemise/chapparal. Huge vines of TODI. Most TODI cover is up in the canopy of large trees.",Small use trail running NW to SE above center of plot.,,,,,X,,1,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,BS469,BSMITT,2007,2,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,BSLT,,,,,,,2,2,yes,yes,Mittledorf/ Headwaters Road,BSLT,4,"BSLT; Mittledorf. accessed via Santa Lucia Preserve. 1st contact the BSLT to get the combination onto Williams Canyon Road. Any plot past the club house/Mittledorf will need 4x4. then contact Santa Lucia Preserve. Be sure to make prior arrangements to visit the Preserve. they are really helpful you just need to give them a heads up. Drive a few miles out Carmel Valley road to Rancho San Carlos Road (@ a stop light), go right. Drive over bridge and right afterward the SLP office is on your right, stop in on your first day to say hello. Go back out to main road and turn right. continue strait, past the golf course and past the tennis club both on your left. Proceed to the big gatehouse and check in w/the people there. Typically they give you a tag to hang in your car. Make sure you NEVER park off the pavement, they are VERY worried about starting fires. Look at the map before heading out to be sure you wont need the combination for any gates. Take main road to Williams Canyon Rd, which will be on your right and a dirt road, to Mittledorf. Continue on past barn to Headwaters road, need 4x4 for this part. Park at drainage right before Williams Canyon Trail. (Not using this trail) Walk down drainage about 90m. Plot is on N side of draw- could be looking down at a confluence from the plot center hard to see. Above plot, in draw, two SESE span the drainage. Trimble was started collecting points about 10m away. Took 2 points there but took 58 more points in center to try and swamp those other points. Actually the trimble was not in the center but 1.7m to the N of center (369 degrees). Did NOT adjust the reading 1.7 m to the N. so need to do this upon return to plot.  Recorded points are those averaged from Trimble.",UCD Trimble,10,602304.55,4035093.05,3.4,yes,543,11.79550171,35,240,270,2,4,mid-slope,"Lots of DWD not making 20cm. Ground nesting bees about 10-15 m above plot to the SE. Lide in plot are pretty healthy- not many cankers-but plenty of flagged out trees nearby, Especially to the N-NW. Reached LIDE seedlings and sapling in little over 1/2 plot. Drainage with flowing water to S and W of plot. LIDE cover is about 50, both canopy and understory. Trimble was started collecting points about 10m away. Took 2 points there but took 58 more points in center to try and swamp those other points. Actually the trimble was not in the center but 1.7m to the N of center (369 degrees). Tags were put on the downhill side and we tagged a down log~15m in plot.",Large FS on SESE.,1,2007,,,11,2,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,BS470,BSMITT,2006,1,,1,,1,,0,1,,,,0,0,0,0,n/a,N/A,N/A,N/A,0,0,1,2016,,,,,,,,,,,,need to double check plots are not too close,,,,,,,2,,yes,yes,Mittledorf/ Headwaters Road,BSLT,4,"BSLT; Mittledorf.  Go in through Santa Lucia Preserve, must gain access each time you go in here. You'll need to talk to the guards at the gathouse. Drive out Williams Canyon Road, it will be a right off of the pavement. You will also have to contact the BSLT to get the combination for the Williams Canyon gate. Drive to the end of the road (4x4), you will see a sign pointing to the right to get to the Mittledorf Lodge. At Mittledorf take Headwater Rd. to junction with Patriarch Rd, (inquire about road conditons before going out there). Park at junction. Walk up Patriarch Rd. about 150 (?)m. Head up slope to SE, almost to the ridge. Beautiful open forest. Above old road cut.",Bart,10,602796,4035183,10,,720,5.811214447,21,342,330,1,4,upper-slope,"Very open understory, very thick litter layer (mosly ARME). Beautiful!",Old road cut below plot,1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
474,BS474,BSMC,2006,2,,1,1,,1,1,0,,,,0,0,1,0,n/a,N/A,N/A,N/A,0,0,2,2008,,,,,,,,,1,,,,,,,,,,1,,yes,no,"Mill Creek Trail, USFS",USFS,1,"USFS. Mill Creek trail; begins about 1/2 mile up Nacimiento road. Trail crosses creek 2x's. Plot is after good jog in the trail as it heads away from the creek then back to the creek, crossing creek. Near tributary go up slope near tributary past plot that is along the trail.",Bart,10,638170.00,3983945.00,6,,289,6.262107372,41,342,351,1,2,mid-slope,plot is just east of a small draw.  Large loose rocks have really done some damage to some of these trees. Plot soil is unstable. Steep and rock danger doing this plot. Edge of gap. We had an extra sample from this plot. From a UMCA seedling in the plot= P.Nem. ownership designation is wrong. Plot is totally covered in huge sword ferns.,There is old fire history. This canyon was logged many years ago. Not sure how long ago. >50 probably.,,,,,X,1,1,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,BS478,BSMC,2006,1,,1,1,,1,1,0,,1,1,0,0,1,0,n/a,N/A,N/A,N/A,0,0,2,2008,,,,,,,,,1,,,,0,,,,,0,1,,yes,yes,South Coast Ridge Road/ Chalk Peak,USFS,1,"USFS. South Coast Ridge road; (4X4), Nacimiento Road to South Coast Ridge Rd (SCRR). On SCRR, park at ""China Camp"" as labeled on old Quads (basically a turnout with a fire ring). Walk W on road ~50m around bend. Head into forest near HUGE 3 stemmed LIDE. Walk W (past huge fire-scarred QUCH) down small drainage. Plot is on SW side of drainage and slightly over the next minor ridge.",Bart,10,641206,3984456,9,,950,10.03484917,34,348,305,2,5,upper-slope,Beautiful forest! Very open understory. Loose soil with lots of litter.,"Has not burned in awhile it appears. Use trail in forest (plot is near to ""chinacamp"")",1,2006,,,11,,2,,,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
